"idDate","date","numWeek","nameOf","continuousHoliday","nameDay","checkHoliday","nameType"
"1","2020-01-01","1","New Year's Day","yes","Wednesday","holiday","Spacial"
"2","2020-01-02","1","Normal Day","no","Thursday","not holiday","weekDay"
"3","2020-01-03","1","Normal Day","no","Friday","not holiday","weekDay"
"4","2020-01-04","1","Normal Day","no","Saturday","holiday","weekEnd"
"5","2020-01-05","1","Normal Day","no","Sunday","holiday","weekEnd"
"6","2020-01-06","1","Normal Day","no","Monday","not holiday","weekDay"
"7","2020-01-07","1","Normal Day","no","Tuesday","not holiday","weekDay"
"8","2020-01-08","2","Normal Day","no","Wednesday","not holiday","weekDay"
"9","2020-01-09","2","Normal Day","no","Thursday","not holiday","weekDay"
"10","2020-01-10","2","Normal Day","no","Friday","not holiday","weekDay"
"11","2020-01-11","2","Normal Day","no","Saturday","holiday","weekEnd"
"12","2020-01-12","2","Normal Day","no","Sunday","holiday","weekEnd"
"13","2020-01-13","2","Normal Day","no","Monday","not holiday","weekDay"
"14","2020-01-14","2","Normal Day","no","Tuesday","not holiday","weekDay"
"15","2020-01-15","3","Normal Day","no","Wednesday","not holiday","weekDay"
"16","2020-01-16","3","Normal Day","no","Thursday","not holiday","weekDay"
"17","2020-01-17","3","Normal Day","no","Friday","not holiday","weekDay"
"18","2020-01-18","3","Normal Day","no","Saturday","holiday","weekEnd"
"19","2020-01-19","3","Normal Day","no","Sunday","holiday","weekEnd"
"20","2020-01-20","3","Normal Day","no","Monday","not holiday","weekDay"
"21","2020-01-21","3","Normal Day","no","Tuesday","not holiday","weekDay"
"22","2020-01-22","4","Normal Day","no","Wednesday","not holiday","weekDay"
"23","2020-01-23","4","Normal Day","no","Thursday","not holiday","weekDay"
"24","2020-01-24","4","Normal Day","no","Friday","not holiday","weekDay"
"25","2020-01-25","4","Normal Day","no","Saturday","holiday","weekEnd"
"26","2020-01-26","4","Normal Day","no","Sunday","holiday","weekEnd"
"27","2020-01-27","4","Normal Day","no","Monday","not holiday","weekDay"
"28","2020-01-28","4","Normal Day","no","Tuesday","not holiday","weekDay"
"29","2020-01-29","5","Normal Day","no","Wednesday","not holiday","weekDay"
"30","2020-01-30","5","Normal Day","no","Thursday","not holiday","weekDay"
"31","2020-01-31","5","Normal Day","no","Friday","not holiday","weekDay"
"32","2020-02-01","5","Normal Day","no","Saturday","holiday","weekEnd"
"33","2020-02-02","5","Normal Day","no","Sunday","holiday","weekEnd"
"34","2020-02-03","5","Normal Day","no","Monday","not holiday","weekDay"
"35","2020-02-04","5","Normal Day","no","Tuesday","not holiday","weekDay"
"36","2020-02-05","6","Normal Day","no","Wednesday","not holiday","weekDay"
"37","2020-02-06","6","Normal Day","no","Thursday","not holiday","weekDay"
"38","2020-02-07","6","Normal Day","no","Friday","not holiday","weekDay"
"39","2020-02-08","6","Makha Bucha Day","yes","Saturday","holiday","Spacial"
"40","2020-02-09","6","Normal Day","yes","Sunday","holiday","weekEnd"
"41","2020-02-10","6","Compensatory Holiday","yes","Monday","holiday","Spacial"
"42","2020-02-11","6","Normal Day","no","Tuesday","not holiday","weekDay"
"43","2020-02-12","7","Normal Day","no","Wednesday","not holiday","weekDay"
"44","2020-02-13","7","Normal Day","no","Thursday","not holiday","weekDay"
"45","2020-02-14","7","Normal Day","no","Friday","not holiday","weekDay"
"46","2020-02-15","7","Normal Day","no","Saturday","holiday","weekEnd"
"47","2020-02-16","7","Normal Day","no","Sunday","holiday","weekEnd"
"48","2020-02-17","7","Normal Day","no","Monday","not holiday","weekDay"
"49","2020-02-18","7","Normal Day","no","Tuesday","not holiday","weekDay"
"50","2020-02-19","8","Normal Day","no","Wednesday","not holiday","weekDay"
"51","2020-02-20","8","Normal Day","no","Thursday","not holiday","weekDay"
"52","2020-02-21","8","Normal Day","no","Friday","not holiday","weekDay"
"53","2020-02-22","8","Normal Day","no","Saturday","holiday","weekEnd"
"54","2020-02-23","8","Normal Day","no","Sunday","holiday","weekEnd"
"55","2020-02-24","8","Normal Day","no","Monday","not holiday","weekDay"
"56","2020-02-25","8","Normal Day","no","Tuesday","not holiday","weekDay"
"57","2020-02-26","9","Normal Day","no","Wednesday","not holiday","weekDay"
"58","2020-02-27","9","Normal Day","no","Thursday","not holiday","weekDay"
"59","2020-02-28","9","Normal Day","no","Friday","not holiday","weekDay"
"60","2020-02-29","9","Normal Day","no","Saturday","holiday","weekEnd"
"61","2020-03-01","9","Normal Day","no","Sunday","holiday","weekEnd"
"62","2020-03-02","9","Normal Day","no","Monday","not holiday","weekDay"
"63","2020-03-03","9","Normal Day","no","Tuesday","not holiday","weekDay"
"64","2020-03-04","10","Normal Day","no","Wednesday","not holiday","weekDay"
"65","2020-03-05","10","Normal Day","no","Thursday","not holiday","weekDay"
"66","2020-03-06","10","Normal Day","no","Friday","not holiday","weekDay"
"67","2020-03-07","10","Normal Day","no","Saturday","holiday","weekEnd"
"68","2020-03-08","10","Normal Day","no","Sunday","holiday","weekEnd"
"69","2020-03-09","10","Normal Day","no","Monday","not holiday","weekDay"
"70","2020-03-10","10","Normal Day","no","Tuesday","not holiday","weekDay"
"71","2020-03-11","11","Normal Day","no","Wednesday","not holiday","weekDay"
"72","2020-03-12","11","Normal Day","no","Thursday","not holiday","weekDay"
"73","2020-03-13","11","Normal Day","no","Friday","not holiday","weekDay"
"74","2020-03-14","11","Normal Day","no","Saturday","holiday","weekEnd"
"75","2020-03-15","11","Normal Day","no","Sunday","holiday","weekEnd"
"76","2020-03-16","11","Normal Day","no","Monday","not holiday","weekDay"
"77","2020-03-17","11","Normal Day","no","Tuesday","not holiday","weekDay"
"78","2020-03-18","12","Normal Day","no","Wednesday","not holiday","weekDay"
"79","2020-03-19","12","Normal Day","no","Thursday","not holiday","weekDay"
"80","2020-03-20","12","Normal Day","no","Friday","not holiday","weekDay"
"81","2020-03-21","12","Normal Day","no","Saturday","holiday","weekEnd"
"82","2020-03-22","12","Normal Day","no","Sunday","holiday","weekEnd"
"83","2020-03-23","12","Normal Day","no","Monday","not holiday","weekDay"
"84","2020-03-24","12","Normal Day","no","Tuesday","not holiday","weekDay"
"85","2020-03-25","13","Normal Day","no","Wednesday","not holiday","weekDay"
"86","2020-03-26","13","Normal Day","no","Thursday","not holiday","weekDay"
"87","2020-03-27","13","Normal Day","no","Friday","not holiday","weekDay"
"88","2020-03-28","13","Normal Day","no","Saturday","holiday","weekEnd"
"89","2020-03-29","13","Normal Day","no","Sunday","holiday","weekEnd"
"90","2020-03-30","13","Normal Day","no","Monday","not holiday","weekDay"
