idDate,date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
1,1/1/2020,1,newyear,yes,Wednesday,holiday,Spacial
2,1/2/2020,1,nomalDay,no,Thursday,not holiday,weekDay
3,1/3/2020,1,nomalDay,no,Friday,not holiday,weekDay
4,1/4/2020,1,nomalDay,no,Saturday,holiday,weekEnd
5,1/5/2020,1,nomalDay,no,Sunday,holiday,weekEnd
6,1/6/2020,1,nomalDay,no,Monday,not holiday,weekDay
7,1/7/2020,1,nomalDay,no,Tuesday,not holiday,weekDay
8,1/8/2020,2,nomalDay,no,Wednesday,not holiday,weekDay
9,1/9/2020,2,nomalDay,no,Thursday,not holiday,weekDay
10,1/10/2020,2,nomalDay,no,Friday,not holiday,weekDay
11,1/11/2020,2,nomalDay,no,Saturday,holiday,weekEnd
12,1/12/2020,2,nomalDay,no,Sunday,holiday,weekEnd
13,1/13/2020,2,nomalDay,no,Monday,not holiday,weekDay
14,1/14/2020,2,nomalDay,no,Tuesday,not holiday,weekDay
15,1/15/2020,3,nomalDay,no,Wednesday,not holiday,weekDay
16,1/16/2020,3,nomalDay,no,Thursday,not holiday,weekDay
17,1/17/2020,3,nomalDay,no,Friday,not holiday,weekDay
18,1/18/2020,3,nomalDay,no,Saturday,holiday,weekEnd
19,1/19/2020,3,nomalDay,no,Sunday,holiday,weekEnd
20,1/20/2020,3,nomalDay,no,Monday,not holiday,weekDay
21,1/21/2020,3,nomalDay,no,Tuesday,not holiday,weekDay
22,1/22/2020,4,nomalDay,no,Wednesday,not holiday,weekDay
23,1/23/2020,4,nomalDay,no,Thursday,not holiday,weekDay
24,1/24/2020,4,nomalDay,no,Friday,not holiday,weekDay
25,1/25/2020,4,nomalDay,no,Saturday,holiday,weekEnd
26,1/26/2020,4,nomalDay,no,Sunday,holiday,weekEnd
27,1/27/2020,4,nomalDay,no,Monday,not holiday,weekDay
28,1/28/2020,4,nomalDay,no,Tuesday,not holiday,weekDay
29,1/29/2020,5,nomalDay,no,Wednesday,not holiday,weekDay
30,1/30/2020,5,nomalDay,no,Thursday,not holiday,weekDay
31,1/31/2020,5,nomalDay,no,Friday,not holiday,weekDay
32,2/1/2020,5,nomalDay,no,Saturday,holiday,weekEnd
33,2/2/2020,5,nomalDay,no,Sunday,holiday,weekEnd
34,2/3/2020,5,nomalDay,no,Monday,not holiday,weekDay
35,2/4/2020,5,nomalDay,no,Tuesday,not holiday,weekDay
36,2/5/2020,6,nomalDay,no,Wednesday,not holiday,weekDay
37,2/6/2020,6,nomalDay,no,Thursday,not holiday,weekDay
38,2/7/2020,6,nomalDay,no,Friday,not holiday,weekDay
39,2/8/2020,6,Makha Bucha,yes,Saturday,holiday,Spacial
